City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
163,Trinidad,BO,2022-11-15 22:04:07,-14.8333,-64.9,82.38,78,75,4.61
164,Kongoussi,BF,2022-11-15 22:04:07,13.3258,-1.5347,78.67,13,98,8.93
165,Coahuayana,MX,2022-11-15 22:04:08,18.7333,-103.6833,86.81,55,56,5.35
166,Vila Franca Do Campo,PT,2022-11-15 22:01:21,37.7167,-25.4333,66.2,93,49,9.95
167,Santa Marta,CO,2022-11-15 22:04:09,11.2408,-74.199,82.89,82,99,8.99
168,Husavik,IS,2022-11-15 22:02:51,66.0449,-17.3389,44.35,91,100,9.22
169,Sept-Iles,CA,2022-11-15 22:00:08,50.2001,-66.3821,25.05,74,40,4.0
170,Manta,EC,2022-11-15 22:04:09,-0.95,-80.7333,74.98,73,75,14.97
171,Talavera,PH,2022-11-15 22:04:10,15.6167,120.9333,73.42,88,4,3.24
172,Anloga,GH,2022-11-15 22:04:10,5.7947,0.8973,82.06,77,70,11.61
173,Alton,US,2022-11-15 22:03:15,38.8906,-90.1843,39.15,86,100,9.22
174,Ashington,GB,2022-11-15 22:04:11,50.9331,-0.3909,54.48,80,30,14.88
175,Port-Gentil,GA,2022-11-15 22:04:12,-0.7193,8.7815,80.56,78,75,10.36
176,Atar,MR,2022-11-15 22:04:12,20.5169,-13.0499,79.75,26,3,15.35
177,Ancud,CL,2022-11-15 22:04:13,-41.8697,-73.8203,54.5,98,100,11.5
178,Fort Morgan,US,2022-11-15 22:00:08,40.2503,-103.8,38.05,28,100,17.27
179,The Valley,AI,2022-11-15 22:04:13,18.217,-63.0578,81.1,78,20,10.36
180,Takoradi,GH,2022-11-15 22:04:14,4.8845,-1.7554,79.12,81,10,8.25
181,Lagunas,PE,2022-11-15 22:04:14,-5.2269,-75.6753,75.15,97,100,2.8
182,Uberaba,BR,2022-11-15 22:04:15,-19.7483,-47.9319,74.55,64,100,5.23
183,Merrill,US,2022-11-15 22:04:15,45.1805,-89.6835,32.77,93,100,3.44
184,Oregon,US,2022-11-15 22:03:08,44.0001,-120.5014,37.22,44,0,4.61
185,Cidreira,BR,2022-11-15 22:04:16,-30.1811,-50.2056,72.03,54,2,9.46
186,Tecoanapa,MX,2022-11-15 22:05:17,16.5167,-98.75,83.71,71,8,6.51
187,Neuquen,AR,2022-11-15 22:00:28,-38.9516,-68.0591,85.21,21,0,13.29
188,Quesnel,CA,2022-11-15 22:05:18,52.9999,-122.5029,33.98,77,79,0.49
189,Kidal,ML,2022-11-15 22:05:18,18.4411,1.4078,74.61,16,100,11.7
190,Saldanha,ZA,2022-11-15 22:05:19,-33.0117,17.9442,63.97,81,99,3.71
191,Bemidji,US,2022-11-15 22:05:19,47.4736,-94.8803,30.06,96,40,0.0
192,Coihaique,CL,2022-11-15 22:01:27,-45.5752,-72.0662,56.07,68,11,11.88
193,Plouzane,FR,2022-11-15 22:05:20,48.3833,-4.6167,53.65,79,75,20.71
194,Puerto Quijarro,BO,2022-11-15 22:05:20,-17.7833,-57.7667,84.52,50,53,2.37
195,Constitucion,CL,2022-11-15 22:03:01,-35.3333,-72.4167,63.75,67,6,15.61
196,San Pedro De Macoris,DO,2022-11-15 22:05:21,18.4616,-69.2972,81.21,83,31,7.36
197,Huanta,PE,2022-11-15 22:05:22,-12.9333,-74.25,68.81,47,80,9.17
198,Taubate,BR,2022-11-15 22:05:22,-23.0264,-45.5553,72.21,91,100,3.11
199,North Bend,US,2022-11-15 22:05:23,43.4065,-124.2243,66.11,40,0,11.5
200,Savannah Bight,HN,2022-11-15 22:05:23,16.45,-85.85,83.43,74,7,12.24
201,El Cope,PA,2022-11-15 22:05:23,8.6167,-80.6,73.06,86,100,4.79
202,College,US,2022-11-15 22:04:11,64.8569,-147.8028,17.55,89,75,8.05
203,Tenenkou,ML,2022-11-15 22:05:24,14.4572,-4.9169,83.48,14,99,9.75
204,Ivybridge,GB,2022-11-15 22:01:57,50.3904,-3.9191,48.9,91,89,15.05
205,Charagua,BO,2022-11-15 22:05:25,-19.8,-63.2167,83.77,51,100,1.83
206,Tamale,GH,2022-11-15 22:05:25,9.4008,-0.8393,79.16,19,11,6.2
207,Altos,BR,2022-11-15 22:05:25,-5.0381,-42.46,86.31,35,76,2.95
208,Comodoro Rivadavia,AR,2022-11-15 22:05:26,-45.8667,-67.5,78.66,21,0,21.85
209,San Bartolome De Tirajana,ES,2022-11-15 22:05:26,27.9248,-15.5733,64.31,32,0,8.05
210,Killybegs,IE,2022-11-15 22:05:27,54.6333,-8.45,44.4,88,87,11.88
211,Newburgh,US,2022-11-15 22:03:19,41.5034,-74.0104,43.52,59,100,4.61
212,Oriximina,BR,2022-11-15 22:05:28,-1.7656,-55.8661,87.17,52,79,4.07
213,Raudeberg,NO,2022-11-15 22:05:28,61.9875,5.1352,53.87,53,77,11.59
214,Puerto Leguizamo,CO,2022-11-15 22:05:29,-0.1934,-74.7819,75.25,94,100,1.61
215,Nanakuli,US,2022-11-15 22:05:29,21.3906,-158.1547,82.35,48,0,10.36
216,San Quintin,MX,2022-11-15 22:05:30,30.4833,-115.95,66.07,42,0,8.3
217,Laguna,US,2022-11-15 22:05:21,38.421,-121.4238,70.32,27,0,12.66
218,Acajutla,SV,2022-11-15 22:05:31,13.5928,-89.8275,84.11,68,44,4.29
219,Shaunavon,CA,2022-11-15 22:05:31,49.6501,-108.4181,27.36,91,100,3.51
220,Cascais,PT,2022-11-15 22:04:00,38.6979,-9.4215,62.94,84,100,18.01
221,Imbituba,BR,2022-11-15 22:04:16,-28.24,-48.6703,68.65,71,19,4.38
222,Belmonte,BR,2022-11-15 22:05:32,-15.8631,-38.8828,76.78,87,71,9.6
223,Road Town,VG,2022-11-15 22:05:32,18.4167,-64.6167,82.49,78,20,8.05
224,Aguimes,ES,2022-11-15 22:05:33,27.9054,-15.4461,71.65,37,0,8.05
225,Manoel Urbano,BR,2022-11-15 22:05:33,-8.8389,-69.2597,80.24,78,93,2.82
