City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
62,Bluff,NZ,58.8,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
63,Bengkulu,ID,75.18,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
65,Alibag,IN,78.87,clear sky,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
69,Rikitea,PF,71.38,few clouds,-23.1203,-134.9692,People ThankYou
70,Kaeo,NZ,64.33,scattered clouds,-35.1,173.7833,Bushido Lodge
74,Shakawe,BW,84.72,scattered clouds,-18.3667,21.85,EdenWood Lodge
75,Chuy,UY,75.34,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
76,Adiake,CI,79.81,overcast clouds,5.2863,-3.304,HOTEL COEUR D'OR
79,Quatre Cocos,MU,69.1,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
83,Taltal,CL,65.59,scattered clouds,-25.4,-70.4833,Residencial Karime
85,Miura,JP,53.58,clear sky,35.14,139.6192,ホテル京急油壺 観潮荘
86,Dunedin,NZ,52.81,overcast clouds,-45.8742,170.5036,Scenic Hotel Southern Cross
87,San Cristobal,VE,73.58,scattered clouds,7.7669,-72.225,Pirineos
89,Harper,LR,78.8,clear sky,4.375,-7.7169,Screensaver
90,Sao Joao Da Barra,BR,78.89,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
91,Saint-Philippe,RE,71.19,few clouds,-21.3585,55.7679,Le four à pain
94,Show Low,US,50.61,clear sky,34.2542,-110.0298,Hampton Inn & Suites Show Low-Pinetop
102,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
108,Arlit,NE,76.6,few clouds,18.7369,7.3853,Case de Passage De la Prefecture
111,Narasannapeta,IN,68.47,overcast clouds,18.4167,84.05,AVK events and catering
112,Lebu,CL,61.65,few clouds,-37.6167,-73.65,Hostal Las Lilas
113,Hithadhoo,MV,81.14,broken clouds,-0.6,73.0833,Scoop Guest House
115,Nuevo Progreso,MX,68.47,overcast clouds,23.1667,-97.95,Balneario Rio el Paraiso
119,Saint George,US,52.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
123,Pak Phanang,TH,77.86,overcast clouds,8.3511,100.202,Green Park Inn Hotel
127,Goedereede,NL,51.01,overcast clouds,51.8175,3.9806,Hotel-Pension Ouddorp
128,Mersing,MY,78.71,scattered clouds,2.4312,103.8405,Timotel Hotel
129,Coihaique,CL,58.95,few clouds,-45.5752,-72.0662,Diego De Almagro Coyhaique
131,Ures,MX,74.21,clear sky,29.4333,-110.4,HOTEL SAHUARO HOUSE
132,Pimentel,PE,75.49,clear sky,-6.8367,-79.9342,Hotel Puerto del Sol
134,Paracuru,BR,81.1,few clouds,-3.41,-39.0306,Hotel Vento Brasil
136,Ponta Do Sol,PT,66.83,clear sky,32.6667,-17.1,Hotel do Campo
137,Kattivakkam,IN,77.09,broken clouds,13.2167,80.3167,Euronova Freezer
139,Axim,GH,78.51,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
140,Bathsheba,BB,86.61,scattered clouds,13.2167,-59.5167,Atlantis Hotel
141,Takoradi,GH,79.23,clear sky,4.8845,-1.7554,Raybow International Hotel
145,Chivay,PE,63.09,overcast clouds,-15.6383,-71.6011,Casa Andina Standard Colca
146,Pochutla,MX,89.42,few clouds,15.7432,-96.4661,Hotel Posada San Jose
147,Kribi,CM,78.12,broken clouds,2.95,9.9167,La Grace Hôtel
148,Rock Sound,BS,78.84,overcast clouds,24.9,-76.2,Pink Corral Bay Property
150,Yining,CN,57.78,overcast clouds,29.0361,114.5636,Xiushui Hotel
151,Piacabucu,BR,79.41,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
