City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
142,Vanavara,RU,60.34,102.2797,0.1,90,100,7.65,overcast clouds
143,Fougeres,FR,48.35,-1.2,44.46,93,88,5.1,overcast clouds
144,Damghan,IR,36.1683,54.348,48.31,66,0,0.51,clear sky
145,Chivay,PE,-15.6383,-71.6011,63.09,27,100,8.97,overcast clouds
146,Pochutla,MX,15.7432,-96.4661,89.42,61,21,7.11,few clouds
147,Kribi,CM,2.95,9.9167,78.12,87,62,7.78,broken clouds
148,Rock Sound,BS,24.9,-76.2,78.84,77,90,15.61,overcast clouds
149,Kangaatsiaq,GL,68.3065,-53.4641,17.42,84,100,10.89,overcast clouds
150,Yining,CN,29.0361,114.5636,57.78,96,100,2.24,overcast clouds
151,Piacabucu,BR,-10.4056,-36.4344,79.41,74,26,12.86,scattered clouds
152,Mahebourg,MU,-20.4081,57.7,69.26,77,20,4.61,few clouds
153,Puerto Colombia,CO,10.9878,-74.9547,86.09,79,99,5.01,moderate rain
154,East London,ZA,-33.0153,27.9116,67.71,89,100,9.4,light rain
155,Alice,US,27.7523,-98.0697,59.16,57,100,14.97,overcast clouds
156,Esperance,AU,-33.8667,121.9,53.83,64,94,20.94,light rain
157,Orlik,RU,52.5178,99.825,-9.85,94,73,2.24,broken clouds
158,Baillif,GP,16.0202,-61.7463,83.7,69,9,10.42,clear sky
159,Bambanglipuro,ID,-7.95,110.2833,75.94,93,100,5.03,moderate rain
160,Champerico,GT,14.3,-91.9167,93.74,67,0,6.44,clear sky
161,Suoyarvi,RU,62.0833,32.35,22.8,88,14,7.52,few clouds
162,Hervey Bay,AU,-25.2986,152.8535,71.26,62,0,9.8,clear sky
163,Biak,ID,-0.9131,122.8766,77.04,81,100,2.57,overcast clouds
164,Garowe,SO,8.4054,48.4845,75.6,69,7,12.53,clear sky
165,Salamiyah,SY,35.0113,37.0532,59.86,67,2,2.8,clear sky
166,Karratha,AU,-20.7377,116.8463,72.52,37,76,15.99,broken clouds
167,Maceio,BR,-9.6658,-35.7353,83.64,69,20,14.97,few clouds
168,Saint-Joseph,RE,-21.3667,55.6167,70.18,67,5,5.53,clear sky
169,Tuktoyaktuk,CA,69.4541,-133.0374,19.4,79,75,0.0,broken clouds
170,Lavrentiya,RU,65.5833,-171.0,27.1,97,98,2.42,overcast clouds
171,Wasilla,US,61.5814,-149.4394,33.94,79,0,0.0,clear sky
172,Ilulissat,GL,69.2167,-51.1,4.55,87,100,3.94,overcast clouds
173,Kang,BW,-23.6752,22.7876,87.49,20,97,0.56,overcast clouds
174,Vila Velha,BR,-20.3297,-40.2925,76.95,71,20,21.0,few clouds
175,Kununurra,AU,-15.7667,128.7333,80.58,78,99,2.3,overcast clouds
176,Beringovskiy,RU,63.05,179.3167,12.65,86,93,4.68,overcast clouds
177,Nabire,ID,-3.3667,135.4833,76.55,92,100,1.81,overcast clouds
178,Jerez,GT,14.1,-89.75,84.65,51,40,0.0,scattered clouds
179,Havre-Saint-Pierre,CA,50.2334,-63.5986,30.2,74,100,9.22,light snow
180,Paita,PE,-5.0892,-81.1144,71.33,70,27,17.27,scattered clouds
181,Faanui,PF,-16.4833,-151.75,80.38,74,100,12.91,light rain
182,Palmer,US,42.1584,-72.3287,43.21,43,40,16.11,scattered clouds
183,Laguna,US,38.421,-121.4238,65.14,49,0,10.36,clear sky
184,Port Elizabeth,ZA,-33.918,25.5701,65.1,81,20,12.66,few clouds
185,Kiama,AU,-34.6833,150.8667,56.57,86,78,4.43,broken clouds
186,Castro,BR,-24.7911,-50.0119,72.39,48,0,7.63,clear sky
187,Hambantota,LK,6.1241,81.1185,77.31,82,48,2.86,scattered clouds
188,Rieti,IT,42.4072,12.8592,56.62,75,71,25.32,broken clouds
189,Rodeo,US,38.033,-122.2669,66.99,61,0,3.0,clear sky
190,Dudinka,RU,69.4058,86.1778,7.63,92,100,23.69,light snow
191,Pisco,PE,-13.7,-76.2167,71.65,64,0,11.5,clear sky
192,Aneho,TG,6.2333,1.6,80.71,74,5,9.69,clear sky
193,Lompoc,US,34.6391,-120.4579,73.85,63,0,19.57,clear sky
194,Bambous Virieux,MU,-20.3428,57.7575,69.22,77,20,4.61,few clouds
195,Rawson,AR,-43.3002,-65.1023,69.6,45,6,11.34,clear sky
196,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,7.39,72,0,11.18,clear sky
197,Henties Bay,NA,-22.116,14.2845,61.07,82,90,8.52,overcast clouds
198,Baykit,RU,61.67,96.37,5.18,86,100,7.54,overcast clouds
199,Mabaruma,GY,8.2,-59.7833,82.11,75,80,4.76,light rain
200,Guayaramerin,BO,-10.8368,-65.3614,87.85,66,96,4.61,overcast clouds
